id,Geo_NAME,name,rate
09003,Kent County,"Kent County, Delaware",27
09005,New Castle County,"New Castle County, Delaware",27
09007,Sussex County,"Sussex County, Delaware",27
09009,District of Columbia,"District of Columbia, District of Columbia",29
09011,Alachua County,"Alachua County, Florida",30
09013,Baker County,"Baker County, Florida",26
09015,Bay County,"Bay County, Florida",31
10000,Bradford County,"Bradford County, Florida",32
10001,Brevard County,"Brevard County, Florida",38
10003,Broward County,"Broward County, Florida",30
10005,Calhoun County,"Calhoun County, Florida",33
11000,Charlotte County,"Charlotte County, Florida",24
11001,Citrus County,"Citrus County, Florida",24
12000,Clay County,"Clay County, Florida",27
12001,Collier County,"Collier County, Florida",27
12003,Columbia County,"Columbia County, Florida",38
12005,DeSoto County,"DeSoto County, Florida",30
12007,Dixie County,"Dixie County, Florida",37
12009,Duval County,"Duval County, Florida",29
12011,Escambia County,"Escambia County, Florida",25
12013,Flagler County,"Flagler County, Florida",37
12015,Franklin County,"Franklin County, Florida",28
12017,Gadsden County,"Gadsden County, Florida",29
12019,Gilchrist County,"Gilchrist County, Florida",33
12021,Glades County,"Glades County, Florida",22
12023,Gulf County,"Gulf County, Florida",37
12027,Hamilton County,"Hamilton County, Florida",31
12029,Hardee County,"Hardee County, Florida",33
12031,Hendry County,"Hendry County, Florida",32
12033,Hernando County,"Hernando County, Florida",29
12035,Highlands County,"Highlands County, Florida",27
12037,Hillsborough County,"Hillsborough County, Florida",34
12039,Holmes County,"Holmes County, Florida",44
12041,Indian River County,"Indian River County, Florida",38
12043,Jackson County,"Jackson County, Florida",39
12045,Jefferson County,"Jefferson County, Florida",33
12047,Lafayette County,"Lafayette County, Florida",40
12049,Lake County,"Lake County, Florida",40
12051,Lee County,"Lee County, Florida",35
12053,Leon County,"Leon County, Florida",32
12055,Levy County,"Levy County, Florida",30
12057,Liberty County,"Liberty County, Florida",26
12059,Madison County,"Madison County, Florida",36
12061,Manatee County,"Manatee County, Florida",27
12063,Marion County,"Marion County, Florida",37
12065,Martin County,"Martin County, Florida",35
12067,Miami-Dade County,"Miami-Dade County, Florida",34
12069,Monroe County,"Monroe County, Florida",31
12071,Nassau County,"Nassau County, Florida",25
12073,Okaloosa County,"Okaloosa County, Florida",31
12075,Okeechobee County,"Okeechobee County, Florida",33
12077,Orange County,"Orange County, Florida",40
12079,Osceola County,"Osceola County, Florida",36
12081,Palm Beach County,"Palm Beach County, Florida",26
12083,Pasco County,"Pasco County, Florida",33
12085,Pinellas County,"Pinellas County, Florida",20
12086,Polk County,"Polk County, Florida",22
12087,Putnam County,"Putnam County, Florida",21
12089,St. Johns County,"St. Johns County, Florida",30
12091,St. Lucie County,"St. Lucie County, Florida",27
12093,Santa Rosa County,"Santa Rosa County, Florida",34
12095,Sarasota County,"Sarasota County, Florida",27
12097,Seminole County,"Seminole County, Florida",32
12099,Sumter County,"Sumter County, Florida",22
12101,Suwannee County,"Suwannee County, Florida",31
12103,Taylor County,"Taylor County, Florida",27
12105,Union County,"Union County, Florida",37
12107,Volusia County,"Volusia County, Florida",39
12109,Wakulla County,"Wakulla County, Florida",23
12111,Walton County,"Walton County, Florida",31
12113,Washington County,"Washington County, Florida",31
12115,Appling County,"Appling County, Georgia",21
12117,Atkinson County,"Atkinson County, Georgia",26
12119,Bacon County,"Bacon County, Georgia",29
12121,Baker County,"Baker County, Georgia",39
12123,Baldwin County,"Baldwin County, Georgia",36
12125,Banks County,"Banks County, Georgia",37
12127,Barrow County,"Barrow County, Georgia",32
12129,Bartow County,"Bartow County, Georgia",40
12131,Ben Hill County,"Ben Hill County, Georgia",32
12133,Berrien County,"Berrien County, Georgia",38
13000,Bibb County,"Bibb County, Georgia",32
13001,Bleckley County,"Bleckley County, Georgia",34
13003,Brantley County,"Brantley County, Georgia",31
13005,Brooks County,"Brooks County, Georgia",44
13007,Bryan County,"Bryan County, Georgia",36
13009,Bulloch County,"Bulloch County, Georgia",41
13011,Burke County,"Burke County, Georgia",33
13013,Butts County,"Butts County, Georgia",39
13015,Calhoun County,"Calhoun County, Georgia",29
13017,Camden County,"Camden County, Georgia",42
13019,Candler County,"Candler County, Georgia",37
13021,Carroll County,"Carroll County, Georgia",39
13023,Catoosa County,"Catoosa County, Georgia",41
13025,Charlton County,"Charlton County, Georgia",34
13027,Chatham County,"Chatham County, Georgia",31
13029,Chattahoochee County,"Chattahoochee County, Georgia",40
13031,Chattooga County,"Chattooga County, Georgia",37
13033,Cherokee County,"Cherokee County, Georgia",39
13035,Clarke County,"Clarke County, Georgia",38
13037,Clay County,"Clay County, Georgia",35
13039,Clayton County,"Clayton County, Georgia",37
13043,Clinch County,"Clinch County, Georgia",54
13045,Cobb County,"Cobb County, Georgia",36
13047,Coffee County,"Coffee County, Georgia",32
13049,Colquitt County,"Colquitt County, Georgia",36
13051,Columbia County,"Columbia County, Georgia",30
13053,Cook County,"Cook County, Georgia",43
13055,Coweta County,"Coweta County, Georgia",34
13057,Crawford County,"Crawford County, Georgia",28
13059,Crisp County,"Crisp County, Georgia",25
13061,Dade County,"Dade County, Georgia",41
13063,Dawson County,"Dawson County, Georgia",37
13065,Decatur County,"Decatur County, Georgia",46
13067,DeKalb County,"DeKalb County, Georgia",28
13069,Dodge County,"Dodge County, Georgia",34
13071,Dooly County,"Dooly County, Georgia",40
13073,Dougherty County,"Dougherty County, Georgia",33
13075,Douglas County,"Douglas County, Georgia",29
13077,Early County,"Early County, Georgia",31
13079,Echols County,"Echols County, Georgia",44
13081,Effingham County,"Effingham County, Georgia",36
13083,Elbert County,"Elbert County, Georgia",38
13085,Emanuel County,"Emanuel County, Georgia",28
13087,Evans County,"Evans County, Georgia",27
13089,Fannin County,"Fannin County, Georgia",27
13091,Fayette County,"Fayette County, Georgia",42
13093,Floyd County,"Floyd County, Georgia",39
13095,Forsyth County,"Forsyth County, Georgia",39
13097,Franklin County,"Franklin County, Georgia",34
13099,Fulton County,"Fulton County, Georgia",46
13101,Gilmer County,"Gilmer County, Georgia",34
13103,Glascock County,"Glascock County, Georgia",36
13105,Glynn County,"Glynn County, Georgia",44
13107,Gordon County,"Gordon County, Georgia",37
13109,Grady County,"Grady County, Georgia",42
13111,Greene County,"Greene County, Georgia",29
13113,Gwinnett County,"Gwinnett County, Georgia",28
13115,Habersham County,"Habersham County, Georgia",34
13117,Hall County,"Hall County, Georgia",27
13119,Hancock County,"Hancock County, Georgia",28
13121,Haralson County,"Haralson County, Georgia",25
13123,Harris County,"Harris County, Georgia",25
13125,Hart County,"Hart County, Georgia",31
13127,Heard County,"Heard County, Georgia",32
13129,Henry County,"Henry County, Georgia",33
13131,Houston County,"Houston County, Georgia",36
13133,Irwin County,"Irwin County, Georgia",32
13135,Jackson County,"Jackson County, Georgia",32
13137,Jasper County,"Jasper County, Georgia",31
13139,Jeff Davis County,"Jeff Davis County, Georgia",32
13141,Jefferson County,"Jefferson County, Georgia",30
13143,Jenkins County,"Jenkins County, Georgia",25
13145,Johnson County,"Johnson County, Georgia",31
13147,Jones County,"Jones County, Georgia",32
13149,Lamar County,"Lamar County, Georgia",37
13151,Lanier County,"Lanier County, Georgia",35
13153,Laurens County,"Laurens County, Georgia",37
13155,Lee County,"Lee County, Georgia",35
13157,Liberty County,"Liberty County, Georgia",27
13159,Lincoln County,"Lincoln County, Georgia",35
13161,Long County,"Long County, Georgia",38
13163,Lowndes County,"Lowndes County, Georgia",28
13165,Lumpkin County,"Lumpkin County, Georgia",35
13167,McDuffie County,"McDuffie County, Georgia",47
13169,McIntosh County,"McIntosh County, Georgia",35
13171,Macon County,"Macon County, Georgia",37
13173,Madison County,"Madison County, Georgia",27
13175,Marion County,"Marion County, Georgia",38
13177,Meriwether County,"Meriwether County, Georgia",40
13179,Miller County,"Miller County, Georgia",38
13181,Mitchell County,"Mitchell County, Georgia",24
13183,Monroe County,"Monroe County, Georgia",33
13185,Montgomery County,"Montgomery County, Georgia",36
13187,Morgan County,"Morgan County, Georgia",31
13189,Murray County,"Murray County, Georgia",40
13191,Muscogee County,"Muscogee County, Georgia",31
13193,Newton County,"Newton County, Georgia",30
13195,Oconee County,"Oconee County, Georgia",25
13197,Oglethorpe County,"Oglethorpe County, Georgia",31
13199,Paulding County,"Paulding County, Georgia",41
13201,Peach County,"Peach County, Georgia",24
13205,Pickens County,"Pickens County, Georgia",37
13207,Pierce County,"Pierce County, Georgia",36
13209,Pike County,"Pike County, Georgia",30
13211,Polk County,"Polk County, Georgia",31
13213,Pulaski County,"Pulaski County, Georgia",36
13215,Putnam County,"Putnam County, Georgia",38
13217,Quitman County,"Quitman County, Georgia",40
13219,Rabun County,"Rabun County, Georgia",25
13221,Randolph County,"Randolph County, Georgia",37
13223,Richmond County,"Richmond County, Georgia",37
13225,Rockdale County,"Rockdale County, Georgia",42
13227,Schley County,"Schley County, Georgia",34
13229,Screven County,"Screven County, Georgia",36
13231,Seminole County,"Seminole County, Georgia",40
13233,Spalding County,"Spalding County, Georgia",42
13235,Stephens County,"Stephens County, Georgia",45
13237,Stewart County,"Stewart County, Georgia",36
13239,Sumter County,"Sumter County, Georgia",29
13241,Talbot County,"Talbot County, Georgia",38
13243,Taliaferro County,"Taliaferro County, Georgia",38
13245,Tattnall County,"Tattnall County, Georgia",36
13247,Taylor County,"Taylor County, Georgia",45
13249,Telfair County,"Telfair County, Georgia",28
13251,Terrell County,"Terrell County, Georgia",32
13253,Thomas County,"Thomas County, Georgia",44
13255,Tift County,"Tift County, Georgia",42
13257,Toombs County,"Toombs County, Georgia",39
13259,Towns County,"Towns County, Georgia",32
13261,Treutlen County,"Treutlen County, Georgia",36
13263,Troup County,"Troup County, Georgia",20
13265,Turner County,"Turner County, Georgia",13
13267,Twiggs County,"Twiggs County, Georgia",36
13269,Union County,"Union County, Georgia",46
13271,Upson County,"Upson County, Georgia",31
13273,Walker County,"Walker County, Georgia",35
13275,Walton County,"Walton County, Georgia",37
13277,Ware County,"Ware County, Georgia",38
13279,Warren County,"Warren County, Georgia",45
13281,Washington County,"Washington County, Georgia",26
13283,Wayne County,"Wayne County, Georgia",28
13285,Webster County,"Webster County, Georgia",50
13287,Wheeler County,"Wheeler County, Georgia",39
13289,White County,"White County, Georgia",37
13291,Whitfield County,"Whitfield County, Georgia",28
13293,Wilcox County,"Wilcox County, Georgia",22
13295,Wilkes County,"Wilkes County, Georgia",35
13297,Wilkinson County,"Wilkinson County, Georgia",32
13299,Worth County,"Worth County, Georgia",34
13301,Hawaii County,"Hawaii County, Hawaii",50
13303,Honolulu County,"Honolulu County, Hawaii",34
13305,Kalawao County,"Kalawao County, Hawaii",41
13307,Kauai County,"Kauai County, Hawaii",23
